Date,Year,Month,Day,Time,Country,Location,Operator,Operator_Type,Route,Type,Aboard,Fatalities,Fatality_Rate,Ground,Causes,Summary
1950-03-07,1950,March,Tuesday,20:59,USA,"Minneapolis, Minnesota",Northwest Orient Airlines,Civilian,Rochester Minn. - Minneapolis,Martin 202,13,13,1.0,2,Pilot Error,"Crashed into a flag pole, well marked by red neon obstruction lights, on approach in blowing snow.  Pilot's attempt to land visual rather than ILS after visual reference to the ground was lost."
1950-03-10,1950,March,Friday,20:59,Viet Nam,"Saigon, Vietnam",Societe Indochinoise De Transport Aeriens,Civilian,Hue - Tourane,Bristol 170 Freighter 21,4,4,1.0,0,Unknown,Cargo plane.
1950-03-12,1950,March,Sunday,14:50,,"Llandow Airport, Cardiff, Wales",Fairflight Ltd.,Civilian,Llandow - Dublin,Avro 689 Tudor 5,83,80,0.96,0,Pilot Error,"During the approach to Runway 28 at Llandow Airport, it appeared to witnesses that the aircraft was going to touch down prematurely. This was followed by an application of power. Climbing to 300 ft. the aircraft stalled and crashed into a field. Due to the placement of luggage in relation to passenger load, the center of gravity was such that there was insufficient elevator control remaining to counteract the rise of the nose upon full application of power."
1950-03-25,1950,March,Saturday,14:50,,"Ankara, Turkey",Devlet Hava Yollairi,Civilian,Unavailable,Douglas Dc-3,15,15,1.0,0,Pilot Error,Crashed and caught fire during landing at Etimeagut airport.
1950-03-28,1950,March,Tuesday,14:50,France,"Off Cap-Ferret, France",Semaf,Civilian,Unavailable,Latecoere 631 (Sea Plane),12,12,1.0,0,Mechanical Failure,Loss of control after mechanical failure and crashed into the sea. Failure of the aileron control couplings resulting from severe vibration.
1950-04-05,1950,April,Wednesday,14:50,India,"Hatiara, India",Deccan Airways,Civilian,Unavailable,Douglas C-47A,3,3,1.0,0,Pilot Error,The cargo plane lost an engine on takeoff and attempted an emergency return but crashed. Overloaded.
1950-04-15,1950,April,Saturday,14:50,Colombia,"Santa Ana, Colombia",Lineas Aéreas Nacionales,Civilian,Unavailable,Douglas C-47 (Dc-3),25,25,1.0,0,Unknown,No remark
1950-04-21,1950,April,Friday,23:25,Japan,"Near Atsugi, Japan",Military - U.S. Air Force,Military,Philippines - Japan,Douglas C-54D,35,35,1.0,0,Weather,Flew off its prescribed course and crashed into Mt. Tanzawa in a rainstorm.
1950-05-02,1950,May,Tuesday,23:25,Ecuador,"Chimborcza, Ecuador",Avianca,Civilian,Quito - Guayaquil,Douglas C-47Dl,15,15,1.0,0,Collision/Impact,Flew into a mountain.
1950-05-17,1950,May,Wednesday,20:59,Pitcairn,"Lagens Air Force Base, Azores",Military - U.S. Air Force,Military,Bermuda - England,Boeing B-29,16,16,1.0,0,Mechanical Failure,Crashed while attempting to land after being diverted to Lagens due to engine trouble.
1950-05-23,1950,May,Tuesday,10:20,USA,"Myrtle Beach, South Carolina",Military - U.S. Air Force,Military,Unavailable,Curtiss C-46D,39,39,1.0,0,Mechanical Failure,"Lost the left aileron after taking off, lost control and crashed."
1950-05-27,1950,May,Saturday,17:30,USA,"Teterboro, New Jersey",Regina Cargo Airlines,Civilian,Unavailable,Curtiss C-46F-1-Cu,2,1,0.5,0,Pilot Error,The cargo plane lost an engine on takeoff and crashed. Overloading of the aircraft due to faulty loading and dispatch procedures coupled with engine malfunctioning due to inadequate maintenance.
1950-05-30,1950,May,Tuesday,17:30,Brazil,"Near Iheus, Brazil",Aerovias Brasil,Civilian,Victoria - Salvador,Douglas Dc-3,15,13,0.87,0,Pilot Error,"During descent into dense cumulonimbus  clouds, severe turbulence was encountered which caused displacement of freight that led to an uncontrolled dive which resulted in the wings separating from the fuselage. Structural failure due to severe turbulence during a thunderstorm. Pilots decision to descend without clearing the turbulent area of weather."
1950-06-05,1950,June,Monday,22:03,USA,Atlantiocean Off Florida,Westair Transport,Civilian,San Juan - Wilmington Nc,Curtiss C-46-F-1-Cu,65,28,0.43,0,Mechanical Failure,"Ditched into the Atlanti300 miles east of Melbourne, Florida on a flight from San Juan, Porto Rico to Wilmington, North Carolina due to failure of both engines. It sank in one of the deepest areas of the Atlantiand could not be recovered. Failure of both engines for reasons unknown."
1950-06-09,1950,June,Friday,19:00,Colombia,"Near Fonseca, Colombia",New Tribes Mission,Civilian,"Kingston, Jamacia - Maracaibo, Venezuela",Douglas Dc-3-178,15,15,1.0,0,Collision/Impact,Crashed and burned 19 miles east northeast of Fonseca well off course. Cause unknown.
1950-06-12,1950,June,Monday,21:52,Bahrain,Off Bahrain,Air France,Civilian,Saigon - Paris,Douglas Dc-4-1009,52,46,0.88,0,Pilot Error,"While making a final approach for Bahrain, the aircraft crashed into the sea. The pilot did not keep a accurate check of his altitude and rate of descent during the approach. Crew error, possibly due to fatigue.  An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots."
1950-06-14,1950,June,Wednesday,21:55,Bahrain,Off Bahrain,Air France,Civilian,Saigon - Paris,Douglas Dc-4-1009,53,40,0.75,0,Pilot Error,"The aircraft crashed into the Persian Gulf while on approach on a flight from Saigon to Paris. Improper approach. Crew error. An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots."
1950-06-23,1950,June,Friday,23:25,USA,"Lake Michigan, 18 Nnw Of Benton Harbor, Michigan",Northwest Orient Airlines,Civilian,New York City - Minneapolis-St. Paul,Douglas Dc-4,58,58,1.0,0,Weather,"En route from New York to Minneapolis, the aircraft crashed into Lake Michigan. The DC-4 was last reported at 3,500 ft. The crash occurred shortly after the aircraft entered an area of severe turbulence with thunderstorm activity. The wreckage was located in 150 feet of water but was not recoverable because it was in 30 feet of silt. The forecast of a squall line in the areas was not made available to the crew. Cause unknown."
1950-06-26,1950,June,Monday,23:00,Australia,"York, Australia",Ansett Ana,Civilian,Guildford - Melbourne,Douglas Dc-4-1009,29,29,1.0,0,Mechanical Failure,"The airliner experienced trouble with all four engines. The crew attempted to return to Guildford but  in the dark, while in a 15 degree turn to port, the aircraft barely cleared a ridge line, struck a tree 30 feet off the ground and ploughed into a downward slope shredding itself and contents into small pieces. The aircraft was named 'Amana.'"
1950-07-07,1950,July,Friday,23:00,French Southern Territories,"Busan, South Korea",Military - U.S. Air Force,Military,Unavailable,Douglas C-54G,23,23,1.0,0,Collision/Impact,Struck a mountain.
1950-07-09,1950,July,Sunday,23:00,Morocco,"Casablanca, Morocco",Aigle Azur,Civilian,Paris - Dakar,Douglas Dc-3,29,22,0.76,0,Collision/Impact,Crashed on climb-out.
1950-07-17,1950,July,Monday,23:00,India,"Near Patharkot, India",Indian National Airlines,Civilian,Delhi - Sringagar,Douglas Dc-3,22,22,1.0,0,Weather,The left wing separated from the plane in extreme turbulence from a thunderstorm.
1950-07-18,1950,July,Tuesday,23:00,Angola,"Near Bocoio, Angola",Dta Angola Airlines,Civilian,Nova Lisboa - Lobito,Douglas Dc-3,9,9,1.0,0,Unknown,No remark
1950-07-27,1950,July,Thursday,04:30,Japan,"Off O-Shima Island, Japan",Military - U.S. Air Force,Military,Unavailable,Douglas C-47D,26,25,0.96,0,Pilot Error,"The aircraft took off from O-shima and reached an altitude of 3,500 feet after which a sudden unexplained descent was made until it crashed into the sea. The surviving witness stated the aircraft hit two moderate bumps followed by dimming of the lights before the descent."
1950-07-28,1950,July,Friday,04:30,Brazil,"Porte Alegre, Brazil",Panair Do Brasil,Civilian,Rio De Janeiro - Porte Algegre,Lockheed 049 Constellation,50,50,1.0,0,Pilot Error,The aircraft flew into power lines during a landing attempt after running out of fuel while in a holding pattern.
1950-07-29,1950,July,Saturday,04:30,Algeria,"Tunbukta, Algeria",Cie Air Transport,Civilian,Algiers - Gao,Bristol 170 Freighter 21,26,26,1.0,0,Mechanical Failure,An explosion in the left wing fuel tank tore off the upper wing surface leading to loss of control of the aircraft.
1950-08-05,1950,August,Saturday,22:00,USA,"Near Fairfield, California",Military - U.S. Air Force,Military,Unavailable,Boeing B-29Mr,20,12,0.6,7,Pilot Error,"The No. 2 propeller began to overspeed during the takeoff. This was followed by overspeeding of the No. 3 propeller. The No. 3 propeller was successfully feathered  but then the landing gear would not retract. The aircraft was unable to gain altitude and the pilot slid the aircraft to the left to avoid a trailer park at the end of the runway. The aircraft stalled, fell to the ground and broke-up.  Killed in the accident was Brigadier General Robert E. Travis. The installation was later renamed Travis Air Force Base in his honor."
1950-08-25,1950,August,Friday,22:00,Malaysia,"Kampong Jenera, Malaysia",Military - Royal Air Force,Military,"Changi, Singapore - Kota Baru",Douglas C-47B,12,12,1.0,0,Collision/Impact,The plane crashed in the steep forested foothills in the Gua Musang district.
1950-08-31,1950,August,Thursday,00:03,Egypt,"Near Wadi Natrun, Egypt",Trans World Airlines,Civilian,Cairo - Rome,Lockheed 749A Constellation,55,55,1.0,0,Mechanical Failure,"While en route from Cairo to Rome, witnesses observed the aircraft on fire. After turning back toward Cairo, it crashed and burned. Failure of the rear master rod bearing in the No. 3 engine that led to an uncontrollable fire. The aircraft was named 'Star of Maryland.'"
1950-09-04,1950,September,Monday,14:10,USA,"Utica, New York",Robinson Airlines,Civilian,"Utica, Ny - Newark, Nj",Douglas Dc-3,23,16,0.7,0,Pilot Error,"Engine parts were observed falling from a height of 3,000 feet. Soon after, the plane was seen losing altitude until it crashed into trees 1.5 miles southeast of Oneida County Airport. Failure of the left engine shortly after takeoff coupled with increased drag due to loss of the left cowling and reduced power output of the right engine resulting from the high pitch position of the right propeller."
1950-09-14,1950,September,Thursday,14:10,"Iran, Islamic Republic of","Tehran, Iran",Iran Air,Civilian,Unavailable,Douglas Dc-3,8,8,1.0,0,Pilot Error,Crashed during takeoff.
1950-09-20,1950,September,Wednesday,05:20,Marshall Islands,"Kwajalein, Marshall Islands",Military - U.S. Navy,Military,Kwajzalein - Tokyo,Douglas R5D-3,26,26,1.0,0,Pilot Error,Crashed into the sea and exploded 3 minutes after taking off from Kwajalein. Possible vertigo experienced by the pilot or malfunction of the instruments.
1950-09-21,1950,September,Thursday,05:20,,"Near Zagreb, Yugoslavia",Jat Yugoslav Airlines,Civilian,Belgrad - Paula,Douglas Dc-3,11,10,0.91,0,Pilot Error,Crashed during landing.
1950-09-23,1950,September,Saturday,05:20,Sweden,"Karlstad, Sweden",Svenska Aero,Civilian,Karlstad - Stockholm,Avro Ninteen I,10,10,1.0,0,Pilot Error,"Reached an altitude of 200 feet, stalled and crashed to the ground."
1950-09-26,1950,September,Tuesday,01:00,Japan,"Near Kyushu Island, Japan",Military - U.S. Air Force,Military,Ashiya Ab - Kimpo Ab,Douglas C-54D-Dc (Dc-4),51,23,0.45,0,Collision/Impact,Crashed in the Korea strait 1mile from the end of the runway after taking off from Ashiya Air Base.
1950-10-13,1950,October,Friday,01:00,Morocco,"Casablanca, Morocco",Air Atlas,Civilian,Casablanca -  Algiers,Douglas Dc-3,7,4,0.57,0,Unknown,No remark
1950-10-13,1950,October,Friday,01:00,,"Almelund, Minnisota",Northwest Orient Airlines,Civilian,Training,Martin 202,6,6,1.0,0,Mechanical Failure,"Crashed after making a steep right turn. The unwanted reversal of the right propeller during flight, as a result of which the crew was unable to maintain control of the aircraft."
1950-10-17,1950,October,Tuesday,01:00,,"London, England",British European Airways,Civilian,London - Glasgow,Douglas C-47A,29,28,0.97,0,Pilot Error,Crashed into trees on Mill Hill after engine failure during takeoff. Everyone except one flight attendant was killed.
1950-10-31,1950,October,Tuesday,19:54,,"London Heathrow, England",British European Airways,Civilian,Paris - London,Vickers 610 Viking-1B,30,28,0.93,0,Collision/Impact,"Crashed in fog in an overshoot after deciding on a go-around. Although it cannot be established with certainty, the probable explanation of the known facts may be that the captain deliberately came down below break-off point and then at 100 ft. or less came into fog which abruptly reduced the visibility of the runway lights and that then and not till then he started overshoot procedure with fatal results."
1950-11-03,1950,November,Friday,09:43,France,"Mont Blanc, France",Air India,Civilian,Bombay - Cairo - Geneva - London,Lockheed 749 Constellation,48,48,1.0,0,Mechanical Failure,The aircraft crashed in a snowstorm 200 meters below Mont Blansummit. The crew was warned by a Geneva controller to climb immediately. They acknowledged the message but soon after struck the mountain. The exact cause of the accident remains undetermined. Most likely the aircraft was caught in violent gust while trying to overfly the summit. The plane was named 'Malabar Princess.'
1950-11-06,1950,November,Monday,08:15,USA,"Butte, Montana",Northwest Orient Airlines,Civilian,Helena - Butte,Martin 202,21,21,1.0,0,Pilot Error,"The pilot failed to follow the carrier's prescribed instrument approach to Butte Airport and crashed into a mountain at about the 8,250 foot level. Captain's failure to follow prescribed approach procedures."
1950-11-13,1950,November,Monday,18:00,USA,"Mt.  Tete De L'Obiou, France",Curtiss-Reid Flying Services Ltd. (Canada),Civilian,Rome - Paris,Douglas C-54B-1-Dc,52,52,1.0,0,Pilot Error,"The aircraft drifted 50 miles off the prescribed route and struck Mt. Tete de l'Obiou at 6,740 feet. The pilot probably realized the deviation and tried to take corrective action but did not see the mountain in time."
1950-11-17,1950,November,Friday,18:00,Indonesia,"Surabaya, Indonesia",Garuda Indonesia Airlines,Civilian,Unavailable,Douglas Dc-3,23,2,0.09,0,Collision/Impact,Veered off the runway and crashed into a ditch..
1950-11-21,1950,November,Tuesday,18:00,USA,"Near Moran Junction, Wyoming",New Tribes Mission,Civilian,"Chico, Ca - Billings, Wy",Douglas Dc-3,21,21,1.0,0,Mechanical Failure,"The aircraft  crashed into Mt. Moran at 11,200 ft., in a snowstorm while flying in IMC conditions. The accident was attributed to flight into IMC conditions with probable electrical failure due to a malfunctioning voltage regulator."
1950-11-23,1950,November,Thursday,18:00,Peru,"Cuzco, Peru",Faucett,Civilian,Maldorado - Quincemil,Douglas Dc-3,9,9,1.0,0,Weather,Crashed into a hill in poor weather conditions while en route.
1950-11-25,1950,November,Saturday,18:00,Bhutan,"Khitka, Bhutan",Indamer,Civilian,Unavailable,Douglas C-47A,3,3,1.0,0,Pilot Error,Failure of the pilots to remain alert and maintain a proper look out resulting in the aircraft flying into the side of a hill.
1950-12-01,1950,December,Friday,18:00,"Iran, Islamic Republic of","Near Chamaran, Iran",Iran Air,Civilian,Unavailable,Douglas Dc-3,8,8,1.0,0,Collision/Impact,Flew into a mountain.
1950-12-08,1950,December,Friday,18:00,France,"Ruig Piner, France",Air Atlas,Civilian,Casablanca - Perpignan,Douglas Dc-3,7,5,0.71,0,Collision/Impact,Flew into a mountain in the Pyrenees.
1950-12-08,1950,December,Friday,18:00,French Southern Territories,"Bangui, French Equatorial Africa",T.A. Intercontinentaux,Civilian,Unavailable,Douglas C-54A,56,46,0.82,0,Pilot Error,Crashed into a mountain in the Pyrenees 5 minutes after takeoff. Crew error. Excessive low rate of climb at night in an unknown region and premature change of heading.
1950-12-13,1950,December,Wednesday,18:00,India,"Katagiri, India",Air India,Civilian,Unavailable,Douglas Dc-3,21,21,1.0,0,Collision/Impact,Flew into a mountain due to a navigational error.
1950-12-13,1950,December,Wednesday,18:00,Brazil,"Londrina, Brazil",Vasp,Civilian,Unavailable,Douglas Dc-3,9,9,1.0,3,Pilot Error,The aircraft crashed after losing its No. 1 engine on takeoff. Engine failure during takeoff. Pilot error. Short takeoff procedure used on an airfield where such a maneuver was not necessary.
1950-12-15,1950,December,Friday,13:30,"Venezuela, Bolivarian Republic of","Valera, Venezuela",Avensa,Civilian,Merida - Caracas,Douglas C-47-Dl,31,31,1.0,0,Pilot Error,"The aircraft crashed into mountains shortly after taking off.  Pilot error. The captain decided to cross the Seven Lagoons mountain range in severe overcast, thinking that he was 30 kms further north, where the range drops to 2,000m. Instead, he flew into 4,000m cliffs. In the last seconds, he realized he was in trouble and tried to gain altitude. For a hundred meters or so he cut through small trees, but finally crashed. A small fire followed."
1950-12-19,1950,December,Tuesday,07:30,Philippines,"Near Baguio, Philippines",Military - U.S. Air Force,Military,Naha Ab - Clark Ab,Douglas C54E-Do (Dc-4),38,38,1.0,0,Collision/Impact,"Proceeding on instruments, the aircraft crashed into Mt. Tabayowhile en route.  Navigation error."
1950-12-22,1950,December,Friday,13:53,Canada,"Penticton, British Columbia, Canada",Canadian Pacifiair Lines,Civilian,Vancouver - Penticton,Douglas Dc-3,18,2,0.11,0,Pilot Error,Struck trees on  Mt. Okanagan while making an approach to Penticton. Drifted below the minimum altitude permissible.
1950-12-30,1950,December,Saturday,13:53,Argentina,"Santiago Del Estado, Argentina",Aerolineas Argentinas,Civilian,Mar Del Plata - Buenos,Douglas Dc-3,18,17,0.94,0,Collision/Impact,Crashed 60 miles north of the airport after taking off from Mar del Plata.
1951-01-12,1951,January,Friday,13:53,French Southern Territories,"Ixopo, South Africa",United Airways,Civilian,Unavailable,De Havilland Dove 1,12,12,1.0,0,Weather,Broke up in turbulence.
1951-01-13,1951,January,Saturday,13:53,USA,"Mt. Bukit, Besar,Thailand",Air Carriers,Civilian,Butterworth - Kota Bharu,Douglas Dc-3,10,10,1.0,0,Collision/Impact,Crashed into Bukit Besar Mountain while en route.
1951-01-14,1951,January,Sunday,14:13,USA,"Philadelphia, Pennsylvania",National Airlines,Civilian,Newark - Philadelphia,Douglas Dc-4-1009,28,7,0.25,0,Pilot Error,"The plane overshot the landing, ran into a ditch and caught fire. Pilot error in electing to land long, on a wet and snow covered runway instead of executing a missed approach."
1951-01-16,1951,January,Tuesday,12:14,USA,"Near Reardon, Washington",Northwest Orient Airlines,Civilian,Minneapolis - Seattle,Martin 202,10,10,1.0,0,Mechanical Failure,"While cruising at 6,000 ft.,  the aircraft when out of control and into a dive, hitting the ground at 340 mph.  Officially the cause was never determined.  Possible in-flight fire, explosion, structural failure or conrol system failure."
1951-01-17,1951,January,Wednesday,14:36,Italy,"Near Civitavecchia, Italy",Alitalia,Civilian,Paris - Rome,Savoia Marchetti Sm-95,17,14,0.82,0,Weather,"The aircraft plunged to the ground from 6,500 feet after being struck by lightning. Lightning ignited a mixture of air and fuel fumes in the fuel tank."
1951-01-28,1951,January,Sunday,08:40,Afghanistan,"Near An Tung, Taiwan",Military -Royal Air Force,Military,"Hong Kong - Iwakuni, Japan",Short Sunderland 9 (Flying Boat),16,16,1.0,0,Weather,Crashed into mountainous terrain while en route. Most likely weather related.
1951-01-31,1951,January,Wednesday,16:45,Iceland,"Off Hafnarfjorour, Iceland",Icelandair,Civilian,Vestmannaeyar Island - Reykjavík,Douglas Dc-3,20,20,1.0,0,Pilot Error,Crashed into the sea 2.5 miles north of the airport after a second landing attempt in snow. The first attempt was aborted because the runway lights were not visible. The crew attempted a second landing but contact was lost with the aircraft. Wreckage was found in the ocean 10 miles from the airport.
1951-02-01,1951,February,Thursday,16:45,Portugal,"Off Terceira, Portugal",Military - Portuguese Air Force,Military,Unavailable,Douglas C-54,14,14,1.0,0,Pilot Error,Ditched in the ocean while on approach.
1951-02-03,1951,February,Saturday,16:45,USA,"Near Mt. Cameroun, Buea, Nigeria",Air France,Civilian,Douala - Niamey,Douglas Dc-4,29,29,1.0,0,Collision/Impact,"Crashed into a mountain at 8,500 feet. Navigation error. Incorrect procedures followed by crew. The crew followed a different and inaccurate course."
1951-02-14,1951,February,Wednesday,16:45,Colombia,"Yali, Colombia",Lineas Aéreas Nacionales,Civilian,Unavailable,Curtiss C-46A,2,2,1.0,0,Unknown,Cargo plane.
1951-03-02,1951,March,Friday,09:12,USA,"Sioux City, Iowa",Mid Continent Airlines,Civilian,"Kansas City, Mo - Omaha, Nb - Sioux City, Iowa",Douglas Dc-3,25,16,0.64,0,Pilot Error,"After a missed ILS approach , the pilot stalled the plane and crashed in poor weather conditions. A stall during a left turn too close to the ground to effect a recovery. Pilot error."
1951-03-11,1951,March,Sunday,09:12,USA,"Mt. Butler, Hong Kong",Pacifioverseas Airways,Civilian,Unavailable,Douglas Dc-4,24,24,1.0,0,Pilot Error,"Crashed into hills shortly after takeoff. Crew error. The pilot taking off under VFR, lost visual contact with the ground and attempted to return to IFR procedure too late to avoid the hills. The aircraft was named 'City of Ayudhya.'"
1951-03-21,1951,March,Wednesday,09:12,Colombia,"Corozal, Colombia",Lansa,Civilian,Unavailable,Douglas C-47,27,27,1.0,0,Collision/Impact,Crashed while on a flight to Cartagena.
1951-03-22,1951,March,Thursday,23:50,Northern Mariana Islands,Over The North Atlantic,Military - U.S. Air Force,Military,Loring Afb - Lakeheath Afb,Douglas C-124A Globemaster,53,53,1.0,0,Collision/Impact,"The aircraft suffered an catastrophiexplosion and crashed into the sea approximately 750 miles west of Limerick, Ireland. Cause unknown"
1966-07-15,1966,July,Friday,23:50,Pakistan,Pakistan,Military - Pakistan Air Force,Military,Unavailable,Lockheed C-130B Hercules,10,10,1.0,0,Collision/Impact,Struck a mountain.
1951-03-22,1951,March,Thursday,23:50,Brazil,"Off Florianopolis, Brazil",Cruzeiro,Civilian,Unavailable,Douglas Dc-3,14,3,0.21,0,Mechanical Failure,The No. 2 engine failed on a go-around in reduced visibility and rain and the aircraft crashed into the ocean.
1951-03-26,1951,March,Monday,23:50,Argentina,"Rio Grande, Argentina",Aerolineas Argentinas,Civilian,Ushuaia - Buenos Aires,Douglas Dc-3,20,11,0.55,2,Pilot Error,Crashed shortly after takeoff.
1951-04-02,1951,April,Monday,23:50,Colombia,"Bogota, Colombia",Avianca,Civilian,Unavailable,Douglas Dc-3,26,26,1.0,0,Unknown,No remark
1951-04-06,1951,April,Friday,20:30,USA,"Refugio Pass, Near Santa Barbara, California",Southwest Airways,Civilian,Santa Maria - Santa Barbara - Oxnard - Los Angeles,Douglas Dc-3,22,22,1.0,0,Pilot Error,"The plane crashed into the north slope of Santa Ynez peak, 23 miles northwest of Santa Barbara, in poor weather. Failure of the crew to maintain minimum altitude for the route being flown for reasons unknown."
1951-04-08,1951,April,Sunday,11:35,USA,"Near Charleston, West Virginia",Military - U.S. Air Force,Military,"Godman Afb - Charleston, Wv",Douglas C-47B-Dk,21,21,1.0,0,Collision/Impact,"The aircraft crashed into a wooded area, 8 miles NE of Charlston, after making a final turn to land at Kanawha County Airport. Both wings were sheared off and the aircraft burst into flames."
1951-04-09,1951,April,Monday,11:35,Andorra,"Cape D'Arguilar, Hong Kong",Siamese Airways,Civilian,Bangkok - Hong Kong,Douglas Dc-3,16,16,1.0,0,Pilot Error,The pilot lost control of the aircraft while attempting too steep a turn and too  low a speed while making an approach at night in dense fog and rain and struck the ground.
1951-04-25,1951,April,Wednesday,11:49,USA,"Key West, Florida",Cubana De Aviacion / Military -  Us Navy,Military,Miami - Havana,Douglas Dc-4 /Beechcraft Smb-1,43,43,1.0,0,Mechanical Failure,"The plane, on a flight from Miami to Cuba, collided with a US Navy Beechcraft at 4,000 feet. Thirty-nine killed on the DC-4, four killed on the Beechcraft.  Failure of both crews to maintain sufficient vigilance under VFR conditions to prevent a collision."
1951-04-28,1951,April,Saturday,19:32,USA,"Fort Wayne, Indiana",United Air Lines,Civilian,Cleveland - Fort Wayne - South Bend - Chicago,Douglas Dc-3,11,11,1.0,0,Collision/Impact,The aircraft crashed after being caught in a squall line with 65-85 mph winds and heavy rain. Windshear. The severe downdraft encountered which caused the aircraft to strike the ground in a near level attitude.
1951-05-06,1951,May,Sunday,12:30,USA,"Near Albuquerque, New Mexico",Military - U.S. Air Force,Military,Unavailable,Convair B-36D,25,23,0.92,0,Pilot Error,"The aircraft crashed while attempting to land at Kirkland AFB in gusty winds. The pilot appeared to have difficulty keeping the wings level. The plane crossed the threshold left of the center line. When the pilot corrected, the right starboard jet pod and No. 6 propeller struck the runway. The pilot attempted a go-around with the No.6 engine afire but crashed to earth bursting into flames."
1951-05-08,1951,May,Tuesday,12:30,France,"Bordeaux, France",Hunting Air Travel,Civilian,Bordeaux - Bovingdon,Vickers 639 Viking 1,32,2,0.06,0,Pilot Error,No. 1 engine failed shortly after taking off.  Altitude could not be maintained and an emergency belly landing was made in a field. The disconnecting of the articulated control rod of the propeller governor due to the lack of a split pin on the governor spindle and to the nut of the ball-joint of the control spindle having been unscrewed by force.
1951-05-18,1951,May,Friday,12:30,Brazil,"Rancharia,  Brazil",Vasp,Civilian,Santa Cruz De Rio Prado - Presidente Prudent,Douglas Dc-3,6,6,1.0,0,Pilot Error,Hit a mountain in fog. Pilot's decision to fly VFR in unfavorable weather conditions.
1951-06-03,1951,June,Sunday,12:30,USA,"New Boston, Texas",Military - U.S. Air Force,Military,Unavailable,Fairchild C-82,10,10,1.0,0,Weather,Struck by lightning and crashed.
1951-06-06,1951,June,Wednesday,12:30,USA,"Rio De Janeiro, Brazil",Lineas Aéreas Trans. Brasileira,Civilian,Unavailable,Douglas Dc-3D,19,2,0.11,0,Pilot Error,"Crashed into high ground while on a VFR apporach in IFR conditions. The pilot attempted a descent over an area where the minimum safe altitude was 1,200 ft."
1951-06-15,1951,June,Friday,12:30,Colombia,"Medellin, Colombia",Sociedad Aeronautica Medellin,Civilian,Unavailable,Douglas C-47A,3,3,1.0,0,Unknown,Cargo plane.
1951-06-22,1951,June,Friday,03:25,Liberia,"Near Sanoyea, Liberia",Pan American World Airways,Civilian,Johannesburg - Accra - Monrovia - New York,Lockheed 049 Constellation,40,40,1.0,0,Pilot Error,"The plane crashed into a hill at 1000 ft. in a level descending attitude, 54 miles from the airport. The pilot descended below en route minimum altitude without knowing the aircraft's position. The aircraft was named Clipper Great Republic."
1951-06-29,1951,June,Friday,03:25,,"Near Rijeka, Yugoslavia",Jat Yugoslav Airlines,Civilian,Rejeka And Zagreb,Junkers 52/3M,14,14,1.0,0,Collision/Impact,Crashed en route.
1951-06-30,1951,June,Saturday,02:00,USA,"Rocky Mountain Nat. Park, Near Ft. Collins, Colorado",United Air Lines,Civilian,Salt Lake City - Denver,Douglas Dc-6B,50,50,1.0,0,Mechanical Failure,"En route from San Francisco to Denver after passing the Cheyenne radio range the aircraft turned south in the wrong heading. Flying in darkness, the aircraft continued on this course until it hit Crystal Mountain. The captain may have depressed the wrong control switch or may have turned his ADF in such a way that it was affected by the radio range station at Fort Bridger, WY. Officially, the flight for reasons undetermined, failed to follow the prescribed route to Denver and continued beyond the boundary of the airway on a course which resulted in the aircraft striking mountainous terrain."
1951-07-12,1951,July,Thursday,02:00,India,"Near Tezpur, India",Indamer,Civilian,Unavailable,Douglas C-47B,3,3,1.0,0,Unknown,Cargo plane.
1951-07-12,1951,July,Thursday,02:00,Brazil,"Aracaju, Brazil",Loide Aereo Nacional,Civilian,Maceio - Aracaju,Douglas Dc-3,33,33,1.0,0,Pilot Error,Crashed during a landing attempt in adverse weather conditions under VFR and hit high ground. The pilot attempted a visual approach and made a turn at low altitude in adverse weather conditions.
1951-11-13,1951,November,Tuesday,02:00,USA,"Puy-De-Dôme, France",Military - U. S. Air Force,Military,Frankfort - Bordeaux,Fairchild C-82 Packet,36,36,1.0,0,Unknown,Flew into Mt. Dore.
1951-07-12,1951,July,Thursday,22:45,,"Lyneham Afb, England",Military - Royal Air Force,Military,Unavailable,Vickers Valetta C-1,10,10,1.0,0,Mechanical Failure,One engine caught fire. The propellers of the working engine were feathered. The plane crashed.
1951-07-16,1951,July,Monday,22:45,Guinea,"Off Lae, New Guinea",Qantas,Civilian,Unavailable,De Havilland Dha-3 Drover Ii,7,7,1.0,0,Collision/Impact,Crashed into the Huon Gulf after the center propeller failed.
1951-07-20,1951,July,Friday,22:45,China,"Thudamot, China",Air Outre-Mer,Civilian,"Pakse, Laos  - Saigon, Vietnam",Douglas C-47A,3,3,1.0,0,Unknown,Cargo plane.
